stadium_name,week_number,average_temperature
Highmark Stadium,5,0.69
Highmark Stadium,6,3.1
Highmark Stadium,7,-1.94
Highmark Stadium,8,0.24
Highmark Stadium,9,5.5
Highmark Stadium,10,8.5
Highmark Stadium,11,6.19
Highmark Stadium,12,-1.67
Highmark Stadium,13,4.44
Highmark Stadium,14,5.44
Highmark Stadium,15,11.26
Highmark Stadium,16,9.49
Highmark Stadium,17,9.9
Highmark Stadium,18,15.67
Highmark Stadium,19,13.07
Highmark Stadium,20,17.57
Highmark Stadium,21,20.41
Highmark Stadium,22,16.27
Highmark Stadium,23,18.74
Highmark Stadium,24,17.77
Highmark Stadium,25,25.09
Highmark Stadium,26,20.49
Highmark Stadium,27,22.09
Highmark Stadium,28,23.09
Highmark Stadium,29,21.34
Highmark Stadium,30,21.8
Highmark Stadium,31,23.73
Highmark Stadium,32,20.79
Highmark Stadium,33,21.1
Highmark Stadium,34,17.93
Highmark Stadium,35,21.96
Highmark Stadium,36,16.96
Highmark Stadium,37,19.43
Highmark Stadium,38,21.01
Highmark Stadium,39,19.47
Highmark Stadium,40,16.6
Highmark Stadium,41,11.6
Highmark Stadium,42,9.2
Highmark Stadium,43,12.11
Highmark Stadium,44,12.46
Highmark Stadium,45,12.54
Highmark Stadium,46,7.04
Highmark Stadium,47,7.13
Highmark Stadium,48,2.3
Highmark Stadium,49,-0.96
Highmark Stadium,50,-0.59
Highmark Stadium,51,-1.46
Highmark Stadium,52,1.61
Huntington Bank Field,1,1.36
Huntington Bank Field,2,0.67
Huntington Bank Field,3,-6.77
Huntington Bank Field,4,2.24
Huntington Bank Field,5,0.87
Huntington Bank Field,6,3.23
Huntington Bank Field,7,-1.01
Huntington Bank Field,8,1.47
Huntington Bank Field,9,4.53
Huntington Bank Field,10,5.94
Huntington Bank Field,11,6.66
Huntington Bank Field,12,0.5
Huntington Bank Field,13,5.31
Huntington Bank Field,14,5.67
Huntington Bank Field,15,10.41
Huntington Bank Field,16,10.11
Huntington Bank Field,17,11.09
Huntington Bank Field,18,14.81
Huntington Bank Field,19,13.27
Huntington Bank Field,20,16.4
Huntington Bank Field,21,20.24
Huntington Bank Field,22,17.23
Huntington Bank Field,23,19.44
Huntington Bank Field,24,19.47
Huntington Bank Field,25,24.59
Huntington Bank Field,26,21.87
Huntington Bank Field,27,22.69
Huntington Bank Field,28,23.4
Huntington Bank Field,29,22.76
Huntington Bank Field,30,22.36
Huntington Bank Field,31,24.59
Huntington Bank Field,32,21.93
Huntington Bank Field,33,22.4
Huntington Bank Field,34,19.81
Huntington Bank Field,35,23.74
Huntington Bank Field,36,18.6
Huntington Bank Field,37,20.87
Huntington Bank Field,38,21.33
Huntington Bank Field,39,20.44
Huntington Bank Field,40,18.49
Huntington Bank Field,41,14.89
Huntington Bank Field,42,11.66
Huntington Bank Field,43,13.79
Huntington Bank Field,44,13.97
Huntington Bank Field,45,14.37
Huntington Bank Field,46,9.41
Huntington Bank Field,47,8.41
Huntington Bank Field,48,2.97
Huntington Bank Field,49,0.9
Huntington Bank Field,50,1.07
Huntington Bank Field,51,1.36
Huntington Bank Field,52,4.16
Lambeau Field,1,-1.68
