stadium_name,week_number,condition
Levi's Stadium,38,cloudy
Levi's Stadium,39,cloudy
Levi's Stadium,40,sunny
Levi's Stadium,41,cloudy
Levi's Stadium,42,cloudy
Levi's Stadium,43,cloudy
Levi's Stadium,44,drizzle
Levi's Stadium,45,cloudy
Levi's Stadium,46,cloudy
Levi's Stadium,47,rainy
Levi's Stadium,48,cloudy
Levi's Stadium,49,cloudy
Levi's Stadium,50,cloudy
Levi's Stadium,51,cloudy
Levi's Stadium,52,rainy
Lincoln Financial Field,1,drizzle
Lincoln Financial Field,2,rainy
Lincoln Financial Field,3,snowy
Lincoln Financial Field,4,cloudy
Lincoln Financial Field,5,drizzle
Lincoln Financial Field,6,cloudy
Lincoln Financial Field,7,cloudy
Lincoln Financial Field,8,drizzle
Lincoln Financial Field,9,cloudy
Lincoln Financial Field,10,drizzle
Lincoln Financial Field,11,cloudy
Lincoln Financial Field,12,cloudy
Lincoln Financial Field,13,cloudy
Lincoln Financial Field,14,rainy
Lincoln Financial Field,15,drizzle
Lincoln Financial Field,16,drizzle
Lincoln Financial Field,17,cloudy
Lincoln Financial Field,18,drizzle
Lincoln Financial Field,19,cloudy
Lincoln Financial Field,20,cloudy
Lincoln Financial Field,21,cloudy
Lincoln Financial Field,22,rainy
Lincoln Financial Field,23,drizzle
Lincoln Financial Field,24,cloudy
Lincoln Financial Field,25,cloudy
Lincoln Financial Field,26,cloudy
Lincoln Financial Field,27,cloudy
Lincoln Financial Field,28,drizzle
Lincoln Financial Field,29,drizzle
Lincoln Financial Field,30,drizzle
Lincoln Financial Field,31,drizzle
Lincoln Financial Field,32,rainy
Lincoln Financial Field,33,cloudy
Lincoln Financial Field,34,cloudy
Lincoln Financial Field,35,drizzle
Lincoln Financial Field,36,sunny
Lincoln Financial Field,37,cloudy
Lincoln Financial Field,38,drizzle
Lincoln Financial Field,39,drizzle
Lincoln Financial Field,40,cloudy
Lincoln Financial Field,41,cloudy
Lincoln Financial Field,42,cloudy
Lincoln Financial Field,43,cloudy
Lincoln Financial Field,44,cloudy
Lincoln Financial Field,45,cloudy
Lincoln Financial Field,46,cloudy
Lincoln Financial Field,47,drizzle
Lincoln Financial Field,48,cloudy
Lincoln Financial Field,49,cloudy
Lincoln Financial Field,50,cloudy
Lincoln Financial Field,51,rainy
Lincoln Financial Field,52,cloudy
Lucas Oil Stadium,1,cloudy
Lucas Oil Stadium,2,snowy
Lucas Oil Stadium,3,snowy
Lucas Oil Stadium,4,rainy
Lucas Oil Stadium,5,cloudy
Lucas Oil Stadium,6,cloudy
Lucas Oil Stadium,7,cloudy
Lucas Oil Stadium,8,cloudy
Lucas Oil Stadium,9,cloudy
Lucas Oil Stadium,10,rainy
Lucas Oil Stadium,11,cloudy
Lucas Oil Stadium,12,cloudy
Lucas Oil Stadium,13,drizzle
Lucas Oil Stadium,14,rainy
Lucas Oil Stadium,15,rainy
Lucas Oil Stadium,16,cloudy
Lucas Oil Stadium,17,cloudy
Lucas Oil Stadium,18,drizzle
Lucas Oil Stadium,19,drizzle
Lucas Oil Stadium,20,rainy
Lucas Oil Stadium,21,drizzle
Lucas Oil Stadium,22,drizzle
Lucas Oil Stadium,23,cloudy
